Team,W,L,W/L%,GB
Boston Celtics,48,26,.649,â€”
Cleveland Cavaliers,47,26,.644,0.5
Washington Wizards,45,28,.616,2.5
Toronto Raptors,45,29,.608,3.0
Milwaukee Bucks,37,36,.507,10.5
Atlanta Hawks,37,36,.507,10.5
Indiana Pacers,37,36,.507,10.5
Miami Heat,35,38,.479,12.5
Chicago Bulls,35,39,.473,13.0
Detroit Pistons,34,40,.459,14.0
Charlotte Hornets,33,40,.452,14.5
New York Knicks,28,46,.378,20.0
Philadelphia 76ers,27,46,.370,20.5
Orlando Magic,27,47,.365,21.0
Brooklyn Nets,16,57,.219,31.5
